"bill_id","CAP_majortopic","machine_learning_coded","proposal_id","bill_title","bill_title_de","bill_date","bill_legislature","bill_parl_decision_date","proposal_total_bills","bill_act_type_detail","bill_direct_democracy","bill_dd_type","bill_type_description","proposal_related_department","proposal_descriptors","rs_id","bill_ro","bill_ro_url","ff_input_id","ff_output_id","bill_ff_output","bill_ff_output_url","bill_proposal_url_manual","bill_ff_page_start","bill_ff_page_end","bill_navettes","bill_treatment_outcome","bill_coder_comments","bill_international","bill_eu","bill_eu_implementation","bill_eu_adaptation","bill_initiation_date","bill_initiation_actor_type","bill_priority_council","bill_treatment_category","bill_conciliation","bill_nc_vote_date","bill_nc_vote_yes","bill_nc_vote_no","bill_nc_vote_abs","bill_sc_vote_date","bill_sc_vote_yes","bill_sc_vote_no","bill_sc_vote_abs","bill_referendum_launched","bill_urgency_clause","bill_consultations_count","bill_preparl_steps_count","majortopic","intervention_id1","intervention_id2","intervention_id3","intervention_id4","intervention_id5","intervention_id6","intervention_id7","intervention_id8","intervention_id9","intervention_id10","consultation_id1","consultation_id2","consultation_id3","io_id1","io_id2","io_id3","io_id4"
"19820072-1",19,0,"19820072","Loi fédérale sur le droit international privé (LDP)","Bundesgesetz über das internationale Privatrecht IPR-Gesetz)","1982-11-10",41,"1987-12-18",1,12,"yes","optional","federal law","DFJP","Recht","291","","","","10105311","","","",205,249,1.5,"parl_adopted","La consultation a eu lieu en 1978 donc elle n'est pas dans la liste

1972 P11 094  Loi fédérale sur les rapports de droit civil des citoyens établis
ou  en séjour (N  27. 9.  1982, Egli/von Arx)
Pas trouvé
http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=20001312


JC_AC (FMAJ)","none","none","none","missing","1971-12-01","mp","CE/SC","","no","1987-12-18",127,0,NA,"1987-12-18",32,8,0,"yes","none",0,2,"","","","","","","","","","","","","","","C3023","","",""
"19830015-1",15,0,"19830015","Code des obligations (Société anonyme)","Revision des Aktienrechts","1983-02-23",41,"1991-10-04",1,12,"yes","optional","federal law","DFJP","Recht, OR, Aktienrecht, Depotstimmrecht, Vinkulierung, Börse, Börsengesetz, BeHG, Aktie, Wertschrift, Obligationenrecht","220","","","","10106715","","","",223,271,2,"parl_adopted","postulat Weibel du 3 juin 1958 pas trouvé

""Les 3  et 10 juin 1958, le conseiller  national  Weibel et le conseiller aux Etats Rohner déposèrent chacun un postulat qui demandait la création d'actions de faible valeur nominale et d'actions sans valeur  nominale"" (p.31 du message)

JC_AC (FMAJ)","autonomous_adaptation","autonomous_adaptation","none","partial_adaptation","1958-06-03","mp","CN/NC","III","no","1991-10-04",148,0,NA,"1991-10-04",40,0,0,"no","none",0,6,"","","","","","","","","","","","","","","C3023","","",""
"19830043-1",1,0,"19830043","Loi fédérale sur l'harmonisation des impôts directs des cantons et des communes (LHID)","Bundesgesetz über die Harmonisierung der direkten Steuern der Kantone und Gemeinden (StHG)","1983-05-25",41,"1990-12-14",3,12,"yes","optional","federal law","DFF","Finanzen, Finanzhaushalt, Steuer, StHG, DBG, direkte Bundessteuer, Steuerharmonisierung, Dreistufentarif, Vergangenheitsbesteuerung, Gegenwartsbesteuerung, Beteiligungsgewinnsteuer, StG, Stempelabgabe, Stempelsteuer, Stempel","642.14","","","","10106384","","","",298,325,2.5,"parl_adopted","Sur Curia Vista, vote NC 121:4 (??) A vérifier => JJ_OK

La consultation date de 1978 et n'est donc pas présente dans la liste

JC : bill_id changée de 19940037 à 19830043 (j'avais du faire une connerie avant)

JC_M","none","none","none","missing","1977-06-12","people","CE/SC","IV","no","1990-12-14",121,4,NA,"1990-12-14",35,2,0,"no","none",0,3,"","","","","","","","","","","","","","","","","",""
"19830043-2",1,0,"19830043","Loi fédérale sur l'impôt fédéral direct (LIFO)","BUNDESGESETZ UEBER DIE DIREKTE BUNDESSTEUER (DBG)","1983-05-25",41,"1990-12-14",3,12,"yes","optional","federal law","DFF","Finanzen, Finanzhaushalt, Steuer, StHG, DBG, direkte Bundessteuer, Steuerharmonisierung, Dreistufentarif, Vergangenheitsbesteuerung, Gegenwartsbesteuerung, Beteiligungsgewinnsteuer, StG, Stempelabgabe, Stempelsteuer, Stempel","642.11","","","","10106383","","","",326,393,3.5,"parl_adopted","nouvelle proposition du CF au milieu du processus donc pas clair comment je dois coder les navettes


La consultation date de 1978 et n'est donc pas présente dans la liste
""  79 réponses, parfois très  détaillées,  furent  déposées. Elles furent résumées par l'AFC sous  forme de  rapport (publié  dans  les Archives  de
 droit  fiscal  suisse,  vol. 47,p.  300 ss)."" (p.10-11 du message)

JC_AC (FMAJ)","none","none","none","missing","1977-06-12","people","CE/SC","","no","1990-12-14",122,18,NA,"1990-12-14",39,2,0,"no","none",0,3,"","","","","","","","","","","","","","","","","",""
"19840041-2",5,0,"19840041","Code des obligations","Obligationenrecht","1984-05-09",42,"1988-03-18",2,12,"yes","optional","federal law","DFI","Wirtschaft, Arbeit, Arbeitsvertrag, Volksinitiative, Recht, OR, Kündigung, Kündigungsschutz, Obligationenrecht","220","","","","10105388","","","",84,91,2.5,"parl_adopted","","none","none","none","compatible_reform","1981-12-21","government","CN/NC","","no","1988-03-18",111,25,NA,"1988-03-18",35,5,0,"no","none",1,2,"","","","","","","","","","","","1983-26","","","","","",""
"19840064-1",15,0,"19840064","Loi fédérale sur le droit d'auteur (LDA)","Urheberrechtsgesetz","1984-08-29",42,"1992-10-09",1,12,"yes","optional","federal law","DFJP","Urheber, Werk, Schutz, Fotokopie, Aufnahme, Ton, Bild, Recht, Kopierabgabe, Leerkassette, Tonträger, geistiges Eigentum, ToG, Aussenpolitik, internationales Übereinkommen, Topographie, URG, Topographiengesetz, Integrierte Schaltung, Urheberrechtsgesetz, Kopierfünfer, Bibliotheksrappen, Leerkassetten-Zuschlag, Kultur, Urheberrecht","231.1","","","","10107139","","","",93,112,1.5,"parl_adopted","IO : j'ai mis un office de l'UNESCO mais c'est faux. Voir si possible de mettre UNESCO tout court ou la convention universelle sur le droit d'auteur JC_OK

Les pre-parlementary steps ne sont pas très claires dans le message. J'ai donc fait ce que j'ai pu mais A VERIFIER

consultation à ajouter

JC_AC (FMAJ)","agreement","none","none","missing","1958-06-30","government","CE/SC","III","no","1992-10-09",150,1,NA,"1992-10-09",43,0,0,"no","none",0,5,"","","","","","","","","","","","","","","B3383","B3635","",""
"19850015-2",14,0,"19850015","Code des obligations (Bail à loyer et bail à ferme)","OBLIGATIONENRECHT (MIETE UND PACHT) UND BUNDESGESETZ UEBER MASSNAHMEN GEGEN MISSBRAEUCHE IM MIETWESEN","1985-03-27",42,"1989-12-15",3,12,"yes","optional","federal law","DFJP","Wohnungswesen, Miete, Mietwesen, Mietrecht, Pachtrecht, OR, Volksinitiative, Wohnung, Pacht, Mieterschutz, Obligationenrecht","220","","","","10106010","","","",115,139,2,"parl_adopted","1973  P   11362        Législation sur les loyers (N 20. 3. 73, Muheim)
1973  P  11622        Appartements locatifs. Motifs du congé (N 11. 12. 73,Fontanet)

PAS PRÉSENTS DANS LA LISTE

JC_AC (FMAJ)","none","none","none","missing","1972-06-29","mp","CE/SC","","no","1989-12-15",117,10,NA,"1989-12-15",40,4,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19850015-3",NA,0,"19850015","Loi fédérale instituant des mesures contre les abus dans le secteur locatif (LMSL)","Bundesgesetz über Massnahmen gegen Missbräuche im Mietwesen","1985-03-27",42,"1988-06-08",3,12,"yes","optional","federal law","DFJP","Wohnungswesen, Miete, Mietwesen, Mietrecht, Pachtrecht, OR, Volksinitiative, Wohnung, Pacht, Mieterschutz, Obligationenrecht","","","","","","","","",140,147,0,"parl_adopted","Bundesgesetz über Massnahmen gegen Missbräuche im Mietwesen
05.12.85 SR Aussetzen der Verhandlungen bis zur Volksabstimmung
12.03.86 NR Aussetzen der Verhandlungen bis zur Volksabstimmung
08.06.88 SR Integration des BG in das OR (Miete und Pacht)



1973  P   11362        Législation sur les loyers (N 20. 3. 73, Muheim)
1973  P  11622        Appartements locatifs. Motifs du congé (Nil. 12. 73,Fontanet) => JJ_note : erreurs sur les dates. Motion Muheim, dépôt le 29 juin 1972 / Motion Fontanet dépôt le 20 mars 1973.
cf. http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=20001874
et http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?ID=20002526


PAS PRÉSENTS DANS LA LISTE

JC_AC (FMAJ)","none","none","none","missing","1972-06-29","mp","CE/SC","","no","",NA,NA,NA,"",NA,NA,0,"no","none",0,0,"","","","","","","","","","","","","","","","","",""
"19850019-1",8,1,"19850019","Arrêté fédéral concernant l'accord de coopération entre la Suisse et l'Egypte relatif aux utilisations pacifiques de l'énergie nucléaire","","1985-05-01",42,"2003-12-16",1,41,"no","none","simple federal decree approving an international agreement (not submitted to referendum regarding international treaties)","DFAE","","","","","","","","","",12,12,0,"non-consideration","JC_AC

JJ_OK

JJ_note: Dates OK","","","","","","","CE/SC","V","no","",NA,NA,NA,"",NA,NA,NA,"","",NA,0,"","","","","","","","","","","","","","","","","",""
"19850020-1",12,0,"19850020","Code pénal suisse","Schweizerisches Strafgesetzbuch. Aenderung","1985-05-01",42,"1987-12-18",1,12,"yes","optional","federal law","DFJP","Recht, Bürgerliches Strafrecht, Insidergeschäft, StGB, Strafgesetzbuch","311.0","","","","10105310","","","",24,25,1,"parl_adopted","JC_OK","none","none","none","missing","1976-10-13","canton","CE/SC","","no","1987-12-18",136,1,NA,"1987-12-18",34,2,0,"yes","none",1,1,"","","","","","","","","","","","1983-25","","","","","",""
