"consultation_date_end","consultation_date_start","consultation_department","consultation_id","consultation_title"
"1980-06-30","1980-02-28","DFJP","1980-1","Erste Vorschläge zur Neuverteilung der Aufgaben zwischen Bund und Kantonen Bericht der Studienkommission vom 31. Juli 1979"
"1980-08-31","1980-07-03","DFE","1980-10","Revision der Verordnung des Bundesrates über die Begrenzung der Zahl der erwerbstätigen Ausländer"
"1980-09-30","1980-07-07","DFF","1980-11","Verlängerung der Finanzordnung (Bundesbeschluss über die Weiterführung der Finanzordnung und die Verbesserung des Bundeshaushaltes)"
"1980-11-30","1980-07-09","DFJP","1980-12","Revision des Bundesbeschlusses über den Erwerb von Grundstücken durch Personen im Ausland"
"1980-10-31","1980-07-10","DFE","1980-13","Bundesgesetz über die wirtschaftliche Landesversorgung"
"1980-11-30","1980-07-11","DFJP","1980-14","Volksinitiative «für eine Verlängerung der bezahlten Ferien»"
"1980-10-31","1980-08-07","DETEC","1980-15","Konzessionsgesuch der Firma Tel Sät AG für den Betrieb eines Satellitenfernsehens"
"1981-01-31","1980-10-03","DFI","1980-16","Forschungsgesetz"
"1980-12-31","1980-12-01","DFF","1980-17","Änderung des Getreidegesetzes"
"1980-05-30","1980-03-26","DFE","1980-18","Änderung der Tierseuchen-VO"
"1980-06-30","1980-05-01","DFF","1980-19","Staatsvertrag mit Österreich über die Gegenseitigkeit in Amtshaftungssachen"
"1980-03-31","1980-01-11","DETEC","1980-2","Revision des Bundesgesetzes über Transporte des öffentlichen Verkehrs"
"1980-11-30","1980-06-09","DFE","1980-20","Revisionsentwurf zum BG vom 30.9.43 über den unlauteren Wettbewerb (UWG)"
"1980-07-18","1980-06-17","DFE","1980-21","Entwurf der VO über die Anerkennung wissenschaftlicher Einrichtungen im Rahmen des Artenschutzübereinkommens"
"1981-02-28","1980-07-11","DETEC","1980-22","Eisenbahntransitlinie Gotthard-Splügen"
"1980-09-19","1980-07-14","DFI","1980-23","Änderung der Waschmittelverordnung vom 13.6.77"
