Councillor,Sex,Yearborn,Canton,Parliament_Experience_years,Federal_Council_elected,election_rate,round,Party,Department,From,To
Buser,M,1926,SO,0,1981-06-11,0.54,4,SP,ChF,1981-07-01,1991-06-30
Couchepin F.,M,1935,VS,0,1991-06-12,0.53,6,FDP,ChF,1991-07-01,1999-12-31
Huber-Hotz,W,1948,ZG,0,1999-12-15,0.64,4,FDP,ChF,2000-01-01,2007-12-31
Casanova,W,1956,GR,0,2007-12-12,0.508,1,CVP,ChF,2008-01-01,2015-12-31
Koller,M,1933,AI,15,1986-12-10,0.74,1,CVP,DDPS,1987-01-01,1989-01-31
Villiger,M,1941,LU,7,1989-02-01,0.53,1,FDP,DDPS,1989-02-01,1995-10-31
Ogi,M,1942,BE,8,1987-12-09,0.55,2,SPP,DDPS,1995-11-01,2000-12-31
Schmid,M,1947,BE,6,2000-12-06,0.52,6,SPP,DDPS,2001-01-01,2007-12-31
Schmid,M,1947,BE,6,2000-12-06,0.52,6,BDP,DDPS,2008-01-01,2008-12-31
Maurer,M,1950,ZH,17,2008-12-10,0.502,3,SPP,DDPS,2009-01-01,2015-12-31
Delamuraz,M,1936,VD,8,1983-12-07,0.54,1,FDP,DEFR,1987-01-01,1998-03-31
Couchepin P.,M,1942,VS,18.5,1998-03-11,0.61,5,FDP,DEFR,1998-04-01,2002-12-31
Deiss,M,1946,FR,7.5,1999-03-11,0.502,6,CVP,DEFR,2003-01-01,2006-07-31
Leuthard,W,1963,AG,6.5,2006-06-14,0.57,1,CVP,DEFR,2006-08-01,2010-10-31
Schneider-Ammann,M,1952,BE,11,2010-09-22,0.61,5,FDP,DEFR,2010-11-01,2015-12-31
Schlumpf,M,1925,GR,7.5,1979-12-05,0.66,1,SPP,DETEC,1980-01-01,1987-12-31
Ogi,M,1942,BE,8,1987-12-09,0.55,2,SPP,DETEC,1988-01-01,1995-10-31
Leuenberger,M,1946,ZH,16,1995-09-27,0.59,5,SP,DETEC,1995-11-01,2010-10-31
Leuthard,W,1963,AG,6.5,2006-06-14,0.57,1,CVP,DETEC,2010-11-01,2015-12-31
Aubert,M,1927,NE,6,1977-12-07,0.82,1,SP,DFAE,1978-02-01,1987-12-31
Felber,M,1933,NE,18.5,1987-12-09,0.67,1,SP,DFAE,1988-01-01,1993-03-31
Cotti,M,1939,TI,3,1986-12-10,0.68,1,CVP,DFAE,1993-04-01,1999-04-30
Deiss,M,1946,FR,7.5,1999-03-11,0.502,6,CVP,DFAE,1999-05-01,2002-12-31
Calmy-Rey,W,1945,GE,9,2002-12-04,0.66,5,SP,DFAE,2003-01-01,2011-12-31
Burkhalter,M,1960,NE,6,2009-09-16,0.54,4,FDP,DFAE,2012-01-01,2015-12-31
Stich,M,1927,SO,21,1983-12-07,0.51,1,SP,DFF,1984-01-01,1995-10-31
Villiger,M,1941,LU,7,1989-02-01,0.53,1,FDP,DFF,1995-11-01,2003-12-31
Merz,M,1942,AR,6,2003-12-10,0.53,2,FDP,DFF,2004-01-01,2010-10-31
Widmer-Schlumpf,W,1956,GR,0,2007-12-12,0.52,2,BDP,DFF,2010-11-01,2015-12-31
Cotti,M,1939,TI,3,1986-12-10,0.68,1,CVP,DFI,1987-01-01,1993-03-31
Dreifuss,W,1940,GE,0,1993-03-10,0.76,3,SP,DFI,1993-04-01,2002-12-31
Couchepin P.,M,1942,VS,18.5,1998-03-11,0.61,5,FDP,DFI,2003-01-01,2009-10-31
Burkhalter,M,1960,NE,6,2009-09-16,0.54,4,FDP,DFI,2009-11-01,2011-12-31
Berset,M,1972,FR,8,2011-12-14,0.51,2,SP,DFI,2012-01-01,2015-12-31
Kopp,W,1936,ZH,5,1984-10-02,0.51,1,FDP,DFJP,1984-11-01,1989-01-31
Koller,M,1933,AI,15,1986-12-10,0.74,1,CVP,DFJP,1989-02-01,1999-04-30
Metzler,W,1964,AI,0,1999-03-11,0.52,4,CVP,DFJP,1999-05-01,2003-12-31
Blocher,M,1940,ZH,24,2003-12-10,0.51,3,SPP,DFJP,2004-01-01,2007-12-31
Widmer-Schlumpf,W,1956,GR,0,2007-12-12,0.52,2,BDP,DFJP,2008-01-01,2010-10-31
Sommaruga,W,1960,BE,4,2010-09-22,0.66,4,SP,DFJP,2010-11-01,2015-12-31
Furgler,M,1924,SG,18.5,1971-12-08,0.51,1,CVP,DFJP,1972-01-01,1982-12-31
Friedrich,M,1923,ZH,7,1982-12-08,0.53,1,FDP,DFJP,1983-01-01,1984-10-31
Ritschard,M,1918,SO,8,1973-12-05,0.502,1,SP,DFF,1980-01-01,1983-10-16
Egli,M,1924,LU,7,1982-12-08,0.51,1,CVP,DFI,1983-01-01,1986-12-31
Furgler,M,1924,SG,18.5,1971-12-08,0.51,1,CVP,DEFR,1983-01-01,1986-12-31
