"rs_id","title","source","rs_link","abreviation","ro_source","decision_date","history_link","pdf_in_force","pdf_entry_in_force","n_full_text_pdf","n_modifications","admin_id","pdf_in_force2","page_length","entry_in_force","international"
"101","Constitution fédérale de la Confédération suisse du 18 avril 1999","/opc/fr/classified-compilation/10.html","/opc/fr/classified-compilation/19995395/index.html","Cst.","RO 1999 2556","1998-12-18","/opc/fr/classified-compilation/19995395/history.html","201702120000/101.pdf","2017-02-12",26,33,19995395,"https://www.admin.ch/opc/fr/classified-compilation/19995395/201702120000/101.pdf",96,"2000-01-01",0
"112","Convention du 22 juin 1875 entre le Conseil fédéral suisse et le Conseil municipal de la ville de Berne concernant les prestations de la ville de Berne pour le siège fédéral","/opc/fr/classified-compilation/11.html","/opc/fr/classified-compilation/18750013/index.html","NA","RO 1 559","1875-06-22","/opc/fr/classified-compilation/18750013/history.html","187507020000/112.pdf","1875-07-02",1,0,18750013,"https://www.admin.ch/opc/fr/classified-compilation/18750013/187507020000/112.pdf",4,"1875-07-02",0
"112.1","Arrêté fédéral du 2 juillet 1875 concernant les prestations de la ville de Berne pour le siège fédéral","/opc/fr/classified-compilation/11.html","/opc/fr/classified-compilation/18750016/index.html","NA","RO 1 557","1875-07-02","/opc/fr/classified-compilation/18750016/history.html","187507020000/112.1.pdf","1875-07-02",1,0,18750016,"https://www.admin.ch/opc/fr/classified-compilation/18750016/187507020000/112.1.pdf",2,"1875-07-02",0
"116","Ordonnance du 30 mai 1994 sur la fête nationale","/opc/fr/classified-compilation/11.html","/opc/fr/classified-compilation/19940113/index.html","NA","RO 1994 1340","1994-05-30","/opc/fr/classified-compilation/19940113/history.html","199407010000/116.pdf","1994-07-01",1,0,19940113,"https://www.admin.ch/opc/fr/classified-compilation/19940113/199407010000/116.pdf",2,"1994-07-01",0
"120","Loi fédérale du 21 mars 1997 instituant des mesures visant au maintien de la sûreté intérieure (LMSI)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/19970117/index.html","LMSI","RO 1998 1546","1997-03-21","/opc/fr/classified-compilation/19970117/history.html","201709010000/120.pdf","2017-09-01",11,19,19970117,"https://www.admin.ch/opc/fr/classified-compilation/19970117/201709010000/120.pdf",14,"1998-07-01",0
"120.4","Ordonnance du 4 mars 2011 sur les contrôles de sécurité relatifs aux personnes (OCSP)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20092321/index.html","OCSP","RO 2011 1031","2011-03-04","/opc/fr/classified-compilation/20092321/history.html","201709010000/120.4.pdf","2017-09-01",10,11,20092321,"https://www.admin.ch/opc/fr/classified-compilation/20092321/201709010000/120.4.pdf",34,"2011-04-01",0
"120.421","Ordonnance de la Chancellerie fédérale du 30 novembre 2011 sur les contrôles de sécurité relatifs aux personnes (OCSP-ChF)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20112469/index.html","OCSP-ChF","RO 2011 6077","2011-11-30","/opc/fr/classified-compilation/20112469/history.html","201606010000/120.421.pdf","2016-06-01",2,1,20112469,"https://www.admin.ch/opc/fr/classified-compilation/20112469/201606010000/120.421.pdf",4,"2012-01-01",0
"120.422","Ordonnance du DEFR du 2 novembre 2011 sur les contrôles de sécurité relatifs aux personnes (OCSP-DEFR)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20111830/index.html","OCSP-DEFR","RO 2011 4999","2011-11-02","/opc/fr/classified-compilation/20111830/history.html","201306010000/120.422.pdf","2013-06-01",2,1,20111830,"https://www.admin.ch/opc/fr/classified-compilation/20111830/201306010000/120.422.pdf",6,"2012-01-01",0
"120.423","Ordonnance du DDPS du 12 mars 2012 concernant les contrôles de sécurité relatifs aux personnes (OCSP-DDPS)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20110720/index.html","OCSP-DDPS","RO 2012 1161","2012-03-12","/opc/fr/classified-compilation/20110720/history.html","201204010000/120.423.pdf","2012-04-01",1,0,20110720,"https://www.admin.ch/opc/fr/classified-compilation/20110720/201204010000/120.423.pdf",26,"2012-04-01",0
"120.424","Ordonnance du DFAE du 14 août 2012 sur les contrôles de sécurité relatifs aux personnes (OCSP-DFAE)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20120364/index.html","OCSP-DFAE","RO 2012 4241","2012-08-14","/opc/fr/classified-compilation/20120364/history.html","201209010000/120.424.pdf","2012-09-01",1,0,20120364,"https://www.admin.ch/opc/fr/classified-compilation/20120364/201209010000/120.424.pdf",4,"2012-09-01",0
"120.425","Ordonnance du DETEC du 15 février 2013 sur les contrôles de sécurité relatifs aux personnes (OCSP-DETEC)","/opc/fr/classified-compilation/12.html","/opc/fr/classified-compilation/20130057/index.html","OCSP-DETEC","RO 2013 765","2013-02-15","/opc/fr/classified-compilation/20130057/history.html","201304010000/120.425.pdf","2013-04-01",1,0,20130057,"https://www.admin.ch/opc/fr/classified-compilation/20130057/201304010000/120.425.pdf",6,"2013-04-01",0
