"id","last_name","first_name","gender","citizenship","canton_abbreviation","council_id","council_abbreviation","council_type","faction_id","faction_abbreviation","party_abbreviation","download_date","birth_date","death_date","membership_entry_date","membership_leaving_date","mp_name"
1353,"a Marca","Giuseppe","m","Soazza (GR)","GR",2,"CE","S",126,"MC","PDC","2016-12-08 18:12:56","1799-07-29","1866-07-16","1849-12-01","1851-07-01","Giuseppe a Marca"
1354,"Ab Yberg","Alois","m","Schwyz (SZ)","SZ",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1878-10-06","1959-10-17","1928-12-03","1935-12-01","Alois Ab Yberg"
801,"Abate","Fabio","m","Cabbio (TI)","TI",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1966-01-04","","2000-09-25","2003-11-30","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1966-01-04","","2003-12-01","2003-12-03","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",1,"CN","N",1,"RL","PLR","2016-12-08 18:12:56","1966-01-04","","2003-12-04","2007-12-02","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",1,"CN","N",1,"RL","PLR","2016-12-08 18:12:56","1966-01-04","","2007-12-03","2008-11-21","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",1,"CN","N",1,"RL","PLR","2016-12-08 18:12:56","1966-01-04","","2008-11-22","2011-12-04","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1966-01-04","","2011-12-05","2015-11-29","Fabio Abate"
801,"Abate","Fabio","m","Cabbio (TI)","TI",2,"CE","S",1,"RL","PLR","2016-12-08 18:12:56","1966-01-04","","2015-11-30","","Fabio Abate"
1355,"Abegg","Alfred","m","Zürich (ZH)","TG",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1914-11-18","1998-08-13","1963-12-02","1971-11-28","Alfred Abegg"
1356,"Abegg","Johann Jakob","m","Küsnacht (ZH)","ZH",1,"CN","N",122,"LD","Lib*","2016-12-08 18:12:56","1834-07-23","1912-02-17","1887-12-05","1912-02-17","Johann Jakob Abegg"
1357,"Abt","H. Roman","m","Bünzen (AG)","AG",1,"CN","N",4,"BGB","UDC","2016-12-08 18:12:56","1883-01-15","1942-03-27","1919-01-01","1931-12-06","H. Roman Abt"
1357,"Abt","H. Roman","m","Bünzen (AG)","AG",1,"CN*","N",4,"BGB","UDC","2016-12-08 18:12:56","1883-01-15","1942-03-27","1931-12-07","1932-12-05","H. Roman Abt"
1357,"Abt","H. Roman","m","Bünzen (AG)","AG",1,"CN","N",4,"BGB","UDC","2016-12-08 18:12:56","1883-01-15","1942-03-27","1932-12-06","1942-03-27","H. Roman Abt"
1358,"Abt","Heinrich E.","m","Bünzen (AG)","AG",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1854-06-22","1937-11-15","1911-12-04","1912-12-03","Heinrich E. Abt"
1358,"Abt","Heinrich E.","m","Bünzen (AG)","AG",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1854-06-22","1937-11-15","1912-12-04","1919-11-01","Heinrich E. Abt"
1359,"Ackermann","Alfred","m","Entlebuch (LU)","LU",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1907-04-02","1997-12-12","1953-09-14","1970-06-01","Alfred Ackermann"
1360,"Ackermann","Joseph","m","Düdingen (FR), Plasselb (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1901-02-16","1987-05-04","1947-12-01","1951-12-02","Joseph Ackermann"
1361,"Ackermann","Walter","m","Herisau (AR)","AR",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1890-11-15","1969-01-31","1935-12-02","1946-12-01","Walter Ackermann"
1361,"Ackermann","Walter","m","Herisau (AR)","AR",2,"CE*","S",1,"R","PLR","2016-12-08 18:12:56","1890-11-15","1969-01-31","1946-12-02","1947-11-30","Walter Ackermann"
1361,"Ackermann","Walter","m","Herisau (AR)","AR",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1890-11-15","1969-01-31","1947-12-01","1963-12-01","Walter Ackermann"
1362,"Acklin","Peter","m","Herznach (AG)","AG",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1821-02-21","1879-12-02","1863-12-07","1866-12-02","Peter Acklin"
1363,"Adam","Jakob Josef","m","Allschwil (BL)","BL",1,"CN","N",125,"LG","PLR","2016-12-08 18:12:56","1828-02-12","1888-01-21","1863-12-07","1868-06-01","Jakob Josef Adam"
4154,"Addor","Jean-Luc","m","Ste-Croix (VD), Savièse (VS)","VS",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1964-04-22","","2015-11-30","","Jean-Luc Addor"
1364,"Addor","Jules-Henri","m","Vuiteboeuf (VD)","VD",1,"CN","N",1,"R","PLR","2016-12-08 18:12:56","1894-09-21","1953-12-17","1943-12-06","1947-11-30","Jules-Henri Addor"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",2,"CE","S",126,"MC","Dém*","2016-12-08 18:12:56","1845-12-23","1928-03-31","1878-12-02","1880-09-01","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",1,"CN","N",7,"L","PLD","2016-12-08 18:12:56","1845-12-23","1928-03-31","1889-03-25","1901-06-02","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",1,"CN*","N",7,"L","PLD","2016-12-08 18:12:56","1845-12-23","1928-03-31","1901-06-03","1902-02-01","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",1,"CN","N",7,"L","PLD","2016-12-08 18:12:56","1845-12-23","1928-03-31","1902-10-01","1912-12-03","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",1,"CN","N",7,"L","PLD","2016-12-08 18:12:56","1845-12-23","1928-03-31","1912-12-04","1917-06-01","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",3,"BR","B",0,"-","LDP","2016-12-08 18:12:56","1845-12-23","1928-03-31","1917-06-26","1919-12-31","Gustave Ador"
1365,"Ador","Gustave","m","Vuiteboeuf (VD), Genf (GE)","GE",3,"BR*","B",0,"-","LDP","2016-12-08 18:12:56","1845-12-23","1928-03-31","1919-01-01","1919-12-31","Gustave Ador"
1366,"Aebersold","Ernst","m","Rubigen (BE)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1887-03-29","1958-11-23","1947-12-01","1958-11-23","Ernst Aebersold"
3867,"Aebi","Andreas","m","Wynigen (BE)","BE",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1958-11-26","","2007-12-03","2011-12-04","Andreas Aebi"
3867,"Aebi","Andreas","m","Wynigen (BE)","BE",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1958-11-26","","2011-12-05","2015-11-29","Andreas Aebi"
3867,"Aebi","Andreas","m","Wynigen (BE)","BE",1,"CN","N",4,"V","UDC","2016-12-08 18:12:56","1958-11-26","","2015-11-30","","Andreas Aebi"
4049,"Aebischer","Matthias","m","Guggisberg (BE)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1967-10-18","","2011-12-05","2015-11-29","Matthias Aebischer"
4049,"Aebischer","Matthias","m","Guggisberg (BE)","BE",1,"CN","N",2,"S","PSS","2016-12-08 18:12:56","1967-10-18","","2015-11-30","","Matthias Aebischer"
1172,"Aebischer","Max","m","Saint-Ours (FR), Heitenried (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1914-01-02","2009-02-28","1951-12-03","1957-12-31","Max Aebischer"
1172,"Aebischer","Max","m","Saint-Ours (FR), Heitenried (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1914-01-02","2009-02-28","1958-01-01","1968-12-01","Max Aebischer"
1172,"Aebischer","Max","m","Saint-Ours (FR), Heitenried (FR)","FR",1,"CN*","N",3,"K","PDC","2016-12-08 18:12:56","1914-01-02","2009-02-28","1968-12-02","1969-11-24","Max Aebischer"
1367,"Aebischer","Paul","m","Guggisberg (BE)","BE",1,"CN","N",108,"DE","PEV","2016-12-08 18:12:56","1908-11-02","1971-02-27","1967-12-04","1971-02-27","Paul Aebischer"
1368,"Aeby","Paul","m","Freiburg (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1841-11-13","1898-07-18","1881-02-14","1881-10-01","Paul Aeby"
1368,"Aeby","Paul","m","Freiburg (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1841-11-13","1898-07-18","1883-06-18","1898-07-18","Paul Aeby"
1369,"Aeby","Pierre","m","Freiburg (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1884-05-06","1957-02-04","1931-12-01","1944-12-03","Pierre Aeby"
1369,"Aeby","Pierre","m","Freiburg (FR)","FR",1,"CN*","N",3,"K","PDC","2016-12-08 18:12:56","1884-05-06","1957-02-04","1944-12-04","1945-12-03","Pierre Aeby"
1369,"Aeby","Pierre","m","Freiburg (FR)","FR",1,"CN","N",3,"K","PDC","2016-12-08 18:12:56","1884-05-06","1957-02-04","1945-12-04","1947-11-30","Pierre Aeby"
369,"Aeby","Pierre","m","Düdingen (FR)","FR",2,"CE","S",2,"S","PSS","2016-12-08 18:12:56","1950-02-14","","1995-12-04","1999-12-05","Pierre Aeby"
1370,"Aepli","A. Otto","m","St. Gallen (SG), Diessenhofen (TG)","TG",2,"CE","S",1,"R","PLR","2016-12-08 18:12:56","1870-04-18","1921-11-04","1919-01-27","1921-11-04","A. Otto Aepli"
1371,"Aepli","Arnold Otto","m","St. Gallen (SG), Diessenhofen (TG)","SG",2,"CE","S",126,"MC","Lib*","2016-12-08 18:12:56","1816-08-22","1897-12-04","1849-04-16","1849-11-01","Arnold Otto Aepli"
