vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
355,1988-12-04,Volksinitiative «für die Begrenzung der Einwanderung»,3,0,19870071-1
354,1988-12-04,Volksinitiative «zur Herabsetzung der Arbeitszeit»,3,0,19870044-1
356,1989-06-04,Volksinitiative «für ein naturnahes Bauern - gegen Tierfabriken (Kleinbauern-Initiative)»,3,0,19880005-1
357,1989-11-26,Volksinitiative «für eine Schweiz ohne Armee und für eine umfassende Friedenspolitik»,3,0,19880041-1
358,1989-11-26,Volksinitiative «pro Tempo 130/100»,3,0,19870047-1
359,1990-04-01,Volksinitiative «Stopp dem Beton - für eine Begrenzung des Strassenbaus!»,3,0,19880060-1
363,1990-04-01,Bundesbeschluss über den Rebbau,2,0,19880081-1
362,1990-04-01,Volksinitiative «für eine freie Aarelandschaft zwischen Biel und Solothurn/Zuchwil»,3,0,19890009-3
361,1990-04-01,Volksinitiative «für ein autobahnfreies Knonauer Amt»,3,0,19890009-2
364,1990-04-01,Bundesgesetz über die Organisation der Bundesrechtspflege,2,0,19850040-1
360,1990-04-01,Volksinitiative «für eine autobahnfreie Landschaft zwischen Murten und Yverdon»,3,0,19890009-1
368,1990-09-23,Bundesgesetz über den Strassenverkehr,2,1,19860043-1
366,1990-09-23,Volksinitiative «Stopp dem Atomkraftwerkbau (Moratorium)»,3,1,19890032-1
367,1990-09-23,Bundesbeschluss über den Energieartikel in der Bundesverfassung,1,1,19870075-1
365,1990-09-23,Volksinitiative «für den Ausstieg aus der Atomenergie»,3,0,19890032-2
370,1991-03-03,Volksinitiative «zur Förderung des öffentlichen Verkehrs»,3,0,19890015-1
369,1991-03-03,Bundesbeschluss über die Herabsetzung des Stimm- und Wahlrechtsalters auf 18 Jahre,1,1,19900220-1
372,1991-06-02,Militärstrafgesetz (MStG),2,1,19870043-1
371,1991-06-02,Bundesbeschluss über die Neuordnung der Bundesfinanzen,1,0,19890041-1
373,1992-02-16,Volksinitiative «für eine finanziell tragbare Krankenversicherung (Krankenkasseninitiative)»,3,0,19880014-1
374,1992-02-16,Volksinitiative «zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch!)»,3,0,19890010-1
379,1992-05-17,Gegenentwurf der Bundesversammlung zur Volksinitiative «gegen Missbräuche der Fortpflanzungs- und Gentechnologie beim Menschen»,4,1,19890067-1
376,1992-05-17,Bundesgesetz über die Mitwirkung der Schweiz an den Institutionen von Bretton Woods,2,1,19910035-2
375,1992-05-17,Bundesbeschluss über den Beitritt der Schweiz zu den Institutionen von Bretton Woods,2,1,19910035-1
380,1992-05-17,Bundesbeschluss über die Einführung eines Zivildienstes für Dienstverweigerer,4,1,19910408-1
378,1992-05-17,Volksinitiative «zur Rettung unserer Gewässer»,3,0,19870036-2
377,1992-05-17,"Bundesgesetz über den Schutz der Gewässer (Gewässerschutzgesetz, GSchG)",2,1,19870036-1
381,1992-05-17,"Schweizerisches Strafgesetzbuch, Militärstrafgesetz (Strafbare Handlungen gegen die sexuelle Integrität)",2,1,19850047-2
382,1992-09-27,Bundesbeschluss über den Bau der schweizerischen Eisenbahn-Alpentransversale (Alpentransit-Beschluss),2,1,19900040-1
386,1992-09-27,Bundesgesetz über die Stempelabgaben,2,1,19910426-1
