preparl_phases_id,bill_id,preparl_phases_type,preparl_phases_order,preparl_phases_start_date,preparl_phases_end_state,preparl_phases_count
315,19820072-1,03,1,1973-06-18,1978-06-30,2
316,19820072-1,04,2,1978-10-15,NA,2
1436,19830015-1,03,1,1959-06-30,1961-06-30,6
1437,19830015-1,05,2,1965-09-30,1966-05-15,6
1438,19830015-1,03,3,1968-05-15,1974-10-15,6
1439,19830015-1,05,4,1971-07-01,1971-07-30,6
1440,19830015-1,04,5,1975-07-15,1975-07-15,6
1441,19830015-1,03,6,1978-12-20,1982-01-12,6
134,19830043-1,04,1,1978-03-15,NA,3
135,19830043-1,05,2,1980-09-17,1980-09-18,3
136,19830043-1,05,3,1981-10-21,1981-10-21,3
137,19830043-2,04,1,1978-03-15,NA,3
138,19830043-2,05,2,1980-09-17,1980-09-18,3
139,19830043-2,05,3,1981-10-21,1981-10-21,3
21,19840041-2,03,1,1982-12-10,1983-07-01,2
22,19840041-2,04,2,1983-11-16,1984-01-20,2
166,19840064-1,03,1,1963-06-30,1971-06-30,5
167,19840064-1,04,2,1971-06-30,NA,5
168,19840064-1,03,3,1972-06-30,1974-06-30,5
169,19840064-1,04,4,NA,NA,5
170,19840064-1,04,5,NA,NA,5
263,19850020-1,04,1,1983-09-16,1984-02-29,1
319,19850040-1,03,1,1969-06-30,1971-06-30,4
320,19850040-1,03,2,1975-06-30,1977-06-30,4
321,19850040-1,03,3,1978-03-15,1982-02-15,4
322,19850040-1,04,4,1983-04-05,1983-09-30,4
323,19850047-1,03,1,1971-06-30,1977-01-15,2
324,19850047-1,04,2,1981-02-25,1981-09-30,2
325,19850047-2,03,1,1971-06-30,1977-01-15,2
326,19850047-2,04,2,1981-02-25,1981-09-30,2
327,19850047-3,03,1,1971-06-30,1977-01-15,2
328,19850047-3,04,2,1981-02-25,1981-09-30,2
24,19850069-1,04,1,1983-12-19,1984-05-31,1
25,19850075-1,04,1,1985-04-10,1985-07-31,1
529,19850227-1,04,1,1986-02-13,1986-06-30,2
530,19850227-1,04,2,1989-12-07,1990-02-28,2
27,19860030-1,04,1,1984-10-31,1985-07-03,1
26,19860030-2,04,1,1984-10-31,1985-07-03,1
28,19860036-1,04,1,1985-07-03,1985-11-30,1
329,19860043-1,02,1,NA,NA,2
330,19860043-1,04,2,1984-07-16,1984-11-30,2
331,19860069-1,04,1,1982-01-25,1982-08-02,1
1935,19870034-1,05,1,NA,NA,1
1936,19870034-2,05,1,NA,NA,1
67,19870036-1,03,1,1978-06-30,1980-04-15,3
68,19870036-1,03,2,1982-12-10,NA,3
69,19870036-1,04,3,1984-10-30,1985-09-30,3
332,19870039-1,04,3,1986-06-19,1986-11-01,3
395,19870039-1,02,1,NA,NA,3
396,19870039-1,02,2,NA,NA,3
70,19870044-1,04,1,1985-06-27,1985-11-30,1
333,19870046-1,02,1,NA,NA,1
1937,19870048-1,04,1,NA,NA,1
1938,19870049-1,05,1,NA,NA,1
334,19870055-1,04,1,1986-07-08,1986-12-31,1
71,19870061-1,02,1,1984-01-15,1985-10-15,2
72,19870061-1,04,2,1986-07-14,1986-12-20,2
335,19870064-1,04,1,1986-12-22,1987-05-31,1
1541,19870069-1,04,1,1983-07-01,NA,2
1542,19870069-1,04,2,NA,NA,2
1540,19870069-2,04,1,NA,NA,1
336,19870075-1,05,1,1986-08-21,1986-08-21,2
337,19870075-1,04,2,1987-02-11,1987-05-31,2
73,19870076-1,02,1,1983-07-14,NA,3
74,19870076-1,03,2,1984-05-28,1985-04-22,3
75,19870076-1,04,3,1986-07-09,1986-12-31,3
77,19870079-1,04,1,1985-12-20,1986-04-30,1
1946,19880004-1,05,1,NA,NA,1
1941,19880007-1,02,1,1987-11-23,1987-11-23,2
1942,19880007-1,05,2,1988-01-13,1988-01-13,2
1947,19880009-1,03,1,NA,NA,1
1529,19880011-1,04,2,1981-07-23,1981-11-30,3
80,19880011-1,03,1,1975-10-31,1980-06-30,3
81,19880011-1,04,3,1985-11-29,1986-06-30,3
1948,19880018-1,05,1,NA,NA,1
338,19880032-1,03,1,1977-06-30,1981-06-30,7
339,19880032-1,03,2,1979-09-15,1982-10-15,7
340,19880032-1,03,3,1982-11-15,1983-06-30,7
341,19880032-1,03,4,1980-06-30,1984-06-30,7
342,19880032-1,03,5,1983-10-15,1985-12-15,7
397,19880032-1,04,6,1984-01-25,1984-09-30,7
398,19880032-1,04,7,1987-05-27,1987-10-15,7
1949,19880034-1,05,1,NA,NA,1
1950,19880038-1,05,2,NA,NA,2
90,19880038-1,03,1,1987-08-12,1988-01-13,2
1951,19880038-2,03,1,1987-08-12,1988-01-13,2
1952,19880038-2,05,2,NA,NA,2
109,19880039-1,03,1,1980-02-20,NA,3
110,19880039-1,05,2,NA,NA,3
111,19880039-1,04,3,1985-11-04,1986-01-31,3
106,19880039-2,03,1,1980-02-20,NA,3
107,19880039-2,05,2,NA,NA,3
108,19880039-2,04,3,1984-11-19,1985-09-30,3
1953,19880039-3,03,1,1980-02-20,NA,3
1954,19880039-3,05,2,NA,NA,3
1955,19880039-3,04,3,1984-11-19,1985-09-30,3
103,19880039-4,03,1,1980-02-20,NA,3
104,19880039-4,05,2,NA,NA,3
105,19880039-4,04,3,1984-11-19,1985-09-30,3
100,19880039-5,03,1,1980-02-20,NA,3
101,19880039-5,05,2,NA,NA,3
102,19880039-5,04,3,1984-11-19,1985-09-30,3
97,19880039-6,03,1,1980-02-20,NA,3
98,19880039-6,05,2,NA,NA,3
99,19880039-6,04,3,1984-11-19,1985-09-30,3
94,19880039-7,03,1,1980-02-20,NA,3
95,19880039-7,05,2,NA,NA,3
96,19880039-7,04,3,1984-11-19,1985-09-30,3
91,19880039-8,03,1,1980-02-20,NA,3
92,19880039-8,05,2,NA,NA,3
93,19880039-8,04,3,1984-11-19,1985-09-30,3
162,19880048-1,03,1,1971-06-30,1975-06-30,4
163,19880048-1,05,2,NA,NA,4
164,19880048-1,03,3,1978-06-30,NA,4
165,19880048-1,04,4,1986-06-30,NA,4
1956,19880050-1,05,1,NA,NA,1
120,19880061-1,01,1,NA,NA,1
1944,19880061-2,01,1,NA,NA,1
123,19880062-1,03,1,1986-12-09,1987-08-15,2
124,19880062-1,04,2,1988-03-07,1988-05-13,2
399,19880065-1,05,1,1988-09-19,1988-10-03,1
128,19880066-1,03,1,1980-06-30,1985-12-15,2
129,19880066-1,04,2,1986-05-21,1987-02-28,2
131,19880066-2,03,1,1980-06-30,1985-12-15,2
132,19880066-2,04,2,1986-05-21,1987-02-28,2
1957,19880067-1,05,1,NA,NA,1
1958,19880073-1,03,1,NA,NA,2
1961,19880073-1,05,2,NA,NA,2
1959,19880073-2,03,1,NA,NA,2
1960,19880073-2,05,2,NA,NA,2
35,19880074-1,04,1,1987-07-10,1987-09-30,1
113,19880077-1,05,2,1988-11-09,1988-11-09,2
36,19880077-1,01,1,1988-09-02,1988-09-02,2
38,19880081-1,04,1,1988-03-07,1988-05-13,1
400,19880229-1,04,1,1983-06-23,1983-09-15,1
39,19880233-1,03,1,1987-11-17,1988-04-30,1
1945,19880233-2,03,1,1987-11-17,1988-04-30,1
343,19890002-1,04,1,1982-11-17,1983-09-15,1
401,19890011-1,05,1,1974-11-15,NA,6
402,19890011-1,03,2,1975-06-30,1976-06-30,6
403,19890011-1,03,3,1977-06-12,1978-05-30,6
404,19890011-1,03,4,1978-11-22,1981-06-15,6
405,19890011-1,03,5,1988-01-25,NA,6
406,19890011-1,04,6,1982-11-12,1983-06-30,6
1962,19890017-1,03,1,NA,NA,3
1963,19890017-1,05,2,NA,NA,3
1964,19890017-1,02,3,NA,NA,3
344,19890020-1,04,1,1988-06-06,1988-09-15,1
1965,19890020-2,04,1,1988-06-06,1988-09-15,1
1966,19890024-1,03,1,NA,NA,1
1967,19890034-1,05,1,NA,NA,1
365,19890036-1,03,1,NA,1988-01-01,1
1472,19890041-1,03,1,1981-09-30,1983-01-19,2
1473,19890041-1,04,2,NA,NA,2
40,19890042-1,05,1,1989-06-15,1989-06-15,1
41,19890042-2,05,1,1989-06-15,1989-06-15,1
42,19890042-3,05,1,1989-06-15,1989-06-15,1
43,19890043-1,03,1,1983-06-30,1983-06-30,5
44,19890043-1,04,2,1985-08-27,1986-05-31,5
45,19890043-1,03,3,1986-06-21,1986-09-15,5
46,19890043-1,04,4,1987-02-23,1987-05-31,5
47,19890043-1,03,5,1988-12-06,1989-03-03,5
1968,19890050-1,05,1,NA,NA,1
48,19890050-2,05,1,NA,NA,1
1543,19890051-1,04,1,1988-06-21,1988-09-30,1
49,19890053-1,04,1,1988-09-27,1988-11-18,1
51,19890062-1,03,1,1986-06-30,1987-06-30,2
52,19890062-1,04,2,1988-02-29,1988-06-30,2
1969,19890063-1,04,1,NA,1989-03-15,1
1970,19890065-1,03,1,1988-06-15,1998-08-15,1
53,19890067-1,03,1,1986-11-15,1988-08-15,1
1971,19890070-1,05,1,NA,NA,1
1972,19890073-1,04,1,1987-02-06,1987-05-31,1
54,19890077-1,03,1,1986-04-15,1989-03-15,2
55,19890077-1,04,2,1988-09-21,1989-01-31,2
345,19890078-2,04,1,1989-02-17,1989-05-31,1
56,19890079-1,03,1,1984-06-30,1985-01-15,2
57,19890079-1,04,2,1987-10-19,1988-01-15,2
1975,19890081-2,05,1,NA,NA,1
1974,19890081-3,05,1,1989-10-15,NA,1
346,19890081-6,01,1,NA,NA,1
1973,19890081-7,01,1,NA,NA,1
1976,19900012-1,02,1,NA,NA,1
116,19900017-1,04,1,NA,NA,2
117,19900017-1,04,2,NA,NA,2
1474,19900019-1,05,1,1988-06-30,1989-06-30,1
1048,19900021-1,02,1,NA,1983-12-15,2
1049,19900021-1,02,2,1988-06-30,1988-06-30,2
1475,19900025-1,03,1,NA,NA,3
1476,19900025-1,04,2,NA,NA,3
1477,19900025-1,04,3,NA,NA,3
1977,19900025-2,04,1,NA,NA,1
1978,19900025-3,04,1,NA,NA,1
58,19900030-1,03,1,1985-05-14,1986-12-23,2
59,19900030-1,04,2,1987-07-31,1988-02-29,2
1979,19900030-2,03,1,1985-05-14,1986-12-23,2
1980,19900030-2,04,2,1987-07-31,1988-02-29,2
1981,19900033-1,05,1,NA,NA,1
1982,19900036-1,03,1,NA,NA,1
60,19900045-1,03,1,1973-10-10,1976-09-15,3
61,19900045-1,03,2,1985-07-04,1986-09-29,3
