"proposal_id","proposal_descriptors","proposal_ff","proposal_id_official","proposal_parl_url","proposal_related_department","proposal_title","proposal_url"
19820072,"Recht","FF 1983 I 255","82.072","http://www.parlament.ch/afs/data/f/gesch/1982/f_gesch_19820072_620.htm","DFJP","Message concernant une loi fédérale sur le droit international privé (loi de DIP) du 10 novembre 1982","https://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10103617&action=open"
19830015,"Recht, OR, Aktienrecht, Depotstimmrecht, Vinkulierung, Börse, Börsengesetz, BeHG, Aktie, Wertschrift, Obligationenrecht","FF 1983 II 757","83.015","http://www.parlament.ch/afs/data/f/gesch/1983/f_gesch_19830015_620.htm","DFJP","Message concernant la révision du droit des sociétés anonymes du 23 février 1983","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10103758"
19830043,"Finanzen, Finanzhaushalt, Steuer, StHG, DBG, direkte Bundessteuer, Steuerharmonisierung, Dreistufentarif, Vergangenheitsbesteuerung, Gegenwartsbesteuerung, Beteiligungsgewinnsteuer, StG, Stempelabgabe, Stempelsteuer, Stempel","FF 1983 III 1","83.043","http://www.parlament.ch/afs/data/f/gesch/1983/f_gesch_19830043_620.htm","DFF","Message concernant les lois fédérales sur 'harmonisation des impôts directe des cantons et des communes ainsi que sur l'impôt fédéral (Message sur l'harmonisation fiscale) du 25 mai 1983","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10103787"
19840041,"Wirtschaft, Arbeit, Arbeitsvertrag, Volksinitiative, Recht, OR, Kündigung, Kündigungsschutz, Obligationenrecht","FF 1984 II 574","84.041","http://www.parlament.ch/afs/data/f/gesch/1984/f_gesch_19840041_620.htm","DFI","Message concernant l'initiative populaire «pour la protection des travailleurs contre les licenciements dans le droit du contrat de travail» et la révision des dispositions sur la résiliation du contrat de travail dans le code des obligations du 9 mai 198","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104045"
19840064,"Urheber, Werk, Schutz, Fotokopie, Aufnahme, Ton, Bild, Recht, Kopierabgabe, Leerkassette, Tonträger, geistiges Eigentum, ToG, Aussenpolitik, internationales Übereinkommen, Topographie, URG, Topographiengesetz, Integrierte Schaltung, Urheberrechtsgesetz, Kopierfünfer, Bibliotheksrappen, Leerkassetten-Zuschlag, Kultur, Urheberrecht","FF 1984 III 177","84.064","http://www.parlament.ch/afs/data/f/gesch/1984/f_gesch_19840064_620.htm","DFJP","Message concernant la loi fédérale sur le droit d'auteur (LDA), la Convention de Berne pour la protection des oeuvres littéraires et artistiques révisée à Paris, et la Convention universelle sur le droit d'auteur et ses protocoles additionnels 1 et 2 révi","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104180"
19850015,"Wohnungswesen, Miete, Mietwesen, Mietrecht, Pachtrecht, OR, Volksinitiative, Wohnung, Pacht, Mieterschutz, Obligationenrecht","FF 1985 I 1369","85.015","http://www.parlament.ch/afs/data/f/gesch/1985/f_gesch_19850015_620.htm","DFJP","Message concernant l'initiative populaire «pour la protection des locataires», la révision du droit du bail à loyer et du bail à ferme dans le code des obligations et la loi fédérale instituant des mesures contre les abus dans le secteur locatif du 27 mar","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104375"
19850019,"","FF 1985 II 49","85.019","https://www.parlament.ch/fr/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=19850019","DFAE","Message et projet d'arrêté du 1er mai 1985 concernant l'accord de coopération entre la Suisse et l'Egypte relatif aux utilisations pacifiques de l'énergie nucléaire.","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104391"
19850020,"Recht, Bürgerliches Strafrecht, Insidergeschäft, StGB, Strafgesetzbuch","FF 1985 II 70","85.020","http://www.parlament.ch/afs/data/f/gesch/1985/f_gesch_19850020_620.htm","DFJP","Message concernant la modification du code pénal (Opérations d'initiés) du 1er mai 1985","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104392"
19850040,"Vorprüfungsverfahren, Streitwertgrenze, procédure d'examen préalable, valeur litigieuse, Recht, Rechtspflege, OG, Soziale Fragen, Sozialversicherung, Versicherungsgericht, Bundesrecht, Bundesrechtspflege, Rechtspflege, Bundesrechtspflegegesetz","FF 1985 II 741","85.040","http://www.parlament.ch/afs/data/f/gesch/1985/f_gesch_19850040_620.htm","DFJP","Message concernant la révision de la loi fédérale d'organisation judiciaire du 29 mai 1985","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104476"
19850047,"Sexualstrafrecht, Jugend, Brutalos, Video, Bürgerliches Strafrecht, Militärstrafrecht, Recht, Militär, Sicherheitspolitik, StGB, MStG, Gesundheit, Drogenpolitik, Droge, Betäubungsmittelgesetz, BetmG, Betäubungsmittel, Militärstrafgesetz, Schutzalter, Jugendschutz, Strafgesetzbuch","FF 1985 II 1021","85.047","http://www.parlament.ch/afs/data/f/gesch/1985/f_gesch_19850047_620.htm","DFJP","Message concernant la modification du code pénal et du code pénal militaire (Infractions contre la vie et l'intégrité corporelle, les mœurs et la famille) du 26 juin 1985","http://www.amtsdruckschriften.bar.admin.ch/viewOrigDoc.do?id=10104485"
